[00:00:00.000 --> 00:00:02.000]  Soll ich mit abnehmen?
[00:20:46.980 --> 00:20:56.740]  dann ist er halt lost. Und deshalb sollte man sich da sehr kritisch hinterfragen. Wenn man eigentlich
[00:20:56.740 --> 00:21:02.060]  keine Zeit für einen Hund hat, dann sollte man auch tatsächlich keinen Hund haben.
[00:21:02.060 --> 00:21:12.140]  Und gibt es so eine gewisse Grundausstattung, die jeder Hundebesitzer für einen Hund haben braucht?
[00:21:12.140 --> 00:21:14.140]  Gibt es da so was?
[00:21:14.140 --> 00:21:20.140]  Du brauchst Läpfe, du brauchst ein Bettchen für den Hund, du brauchst Geschirre, Leine, je nachdem.
[00:21:20.140 --> 00:21:22.140]  Also so eine Grundausstattung gibt es schon.
[00:21:22.140 --> 00:21:31.140]  Also Geschirre, ein Geschirr, ein Halsband, je nachdem, eine Leine, Maulkorb, Bett, Läpfe.
[00:21:31.140 --> 00:21:36.140]  Das ist glaube ich so die, ein bisschen Spielzeug.
[00:21:36.140 --> 00:21:38.140]  Spielzeug, ja.
[00:21:38.140 --> 00:21:40.140]  Maulkorb wirklich immer als Grundausstattung?
[00:21:41.140 --> 00:21:50.140]  Du, kann nie schaden. Also bei Maulkorb ist ja auch nicht so, deshalb finde ich das ganz gut, wenn der einfach mit im Paket drin ist.
[00:21:50.140 --> 00:21:56.140]  Erstens mal gibt es Situationen, wo du Maulkorb brauchst. In der Schweiz zum Beispiel ist ja Maulkorb Pflicht.
[00:21:56.140 --> 00:21:58.140]  Ja, in anderen Ländern ist das Pflicht.
[00:21:58.140 --> 00:22:04.140]  Und dann ist das ja auch nicht so. Und du weißt immer nie, was passiert.
[00:22:04.140 --> 00:22:10.140]  Ja, kann sein, dass dein Hund dann irgendwie, dass es Situationen gibt, wo der nach vorne geht.
[00:22:10.140 --> 00:22:18.140]  Und du froh bist, dass du diesen Maulkorb hast oder dass der Hund Probleme mit anderen Hunden hat und du irgendwie eigentlich gar nicht mehr richtig Gasse gehen kannst.
[00:22:18.140 --> 00:22:20.140]  Und dann bist du froh, wenn du einen Maulkorb hast.
[00:22:20.140 --> 00:22:27.140]  Und deshalb ist es ganz gut, wenn man das auch, weil du gibst ja so einem Hund nicht einfach den Maulkorb drauf.
[00:22:27.140 --> 00:22:29.140]  Das ist auch eine Trainingsfrage.
[00:22:29.140 --> 00:22:36.140]  Also man übt erst mal Maulkorb und das dauert auch ein paar Tage, bis der Hund dann den Maulkorb akzeptiert hat.
[00:22:36.140 --> 00:22:42.740]  Und deshalb würde ich den mit in die Grundausstattung nehmen, einfach um ein Hilfsmittel zur Hand zu haben,
[00:22:42.740 --> 00:22:46.740]  was ich dann auch anwenden kann, wenn eine Notsituation eintritt.
[00:22:46.740 --> 00:22:50.740]  Also wenn ich einen kleinen Chihuahua habe, weiß ich, wie ich den brauche.
[00:22:50.740 --> 00:22:56.740]  Aber wenn man von einem normal großen Hund oder du hast einen Border Collie oder sonst was,
[00:22:56.740 --> 00:23:01.740]  ich würde denken, es ist gut, wenn man so etwas hat.
[00:23:01.740 --> 00:23:13.740]  Wir hatten vorhin schon gefragt, aber vielleicht können wir nochmal Sie fragen, was ist mit dem Thema "kranke Hunde adoptieren"?
[00:23:13.740 --> 00:23:21.340]  Also ist das etwas, das wirklich nur Leute machen können, die Erfahrung haben mit Hunden?
[00:23:21.340 --> 00:23:27.020]  Oder ob das auch Laien machen können mit der richtigen Unterstützung?
[00:23:27.020 --> 00:23:32.460]  Das können auch Laien machen, mit der richtigen Unterstützung.
[00:23:32.460 --> 00:23:36.460]  Das ist halt ein krankes Tier, das ist halt auch immer ein Kostenfaktor.
[00:23:36.460 --> 00:23:47.300]  Das muss man ganz klar sagen. Und ansonsten ist Krankheit ja auch so ein sehr weiter Begriff,
[00:23:47.300 --> 00:23:56.060]  was das Tier gerade erkrankt ist. Also sind es Krankheiten, die man medikamentös behandeln kann?
[00:23:56.060 --> 00:24:03.540]  Hunde haben ja auch viel mit Gelenken zu tun, also viel mit Knochen und Gelenken. Da muss man halt
[00:24:03.540 --> 00:24:09.740]  die Zeit und die Bereitschaft und das Geld investieren. Wenn du einen Hund hast mit einer
[00:24:09.740 --> 00:24:14.540]  Hüftgelenksdysplasie im fortgeschrittenen Stadium, dann musst du halt mit dem zum Tierarzt, dann kriegt
[00:24:14.540 --> 00:24:20.740]  der Schmerzspritzen, dann musst du mit dem im Zweifelsfall zum Osteopathen, zur Physio und so
[00:24:20.740 --> 00:24:27.420]  weiter und so fort. Muss man halt alles mit einkalkulieren. Also das ist nichts mit, ob man
[00:24:27.420 --> 00:24:33.300]  das kann oder nicht. Also das hat mit Laien oder Profis nicht zu tun, sondern ob du die Bereitschaft
[00:24:33.300 --> 00:24:38.020]  hast, sich darum zu kümmern und dann zu den entsprechenden Leuten zu gehen, die dir dann
[00:24:38.020 --> 00:24:42.460]  helfen oder dem Tier vor allen Dingen helfen können. Und das kostet halt.
[00:24:42.460 --> 00:24:49.220]  Also man kann sagen, man braucht schon gewisse Geld in die Hand zu nehmen, wenn man so einen
[00:24:49.220 --> 00:24:50.220]  kranken Hund adoptiert.
[00:24:50.220 --> 00:24:57.940]  Ja, es kommt ganz stark auf die Krankheit an. Also manche Hunde sind ja auch irgendwie
[00:24:57.940 --> 00:25:02.420]  krank und können damit leben. Die brauchen nur einfach Ruhe oder wenig Bewegung oder
[00:25:02.420 --> 00:25:22.420]  können keine Treppen laufen oder so. Da muss man halt versuchen, die Umwelt sozusagen so hinzubauen, dass es mit dem Hund konform geht. Oder Hunde, die in einem Wolli sind, die sind ja prinzipiell auch krank, weil denen irgendwie ein Bein fehlt oder zwei. Aber die leben ganz lustig vor sich hin.
[00:25:22.420 --> 00:25:30.420]  Ich weiß nicht, wie viel Zeit noch haben wir. Vielleicht noch ein letztes Thema, was vielleicht noch wichtig sein könnte und zwar Gassigehen.
[00:25:30.420 --> 00:25:35.860]  Was man da vielleicht generell beachten sollte und vor allem, ob man da
[00:25:35.860 --> 00:25:41.380]  irgendwie Vorbereitung vor dem Gassigehen oder danach noch irgendwie den Hund...
[00:25:41.380 --> 00:25:54.580]  Für den Hund? Ja. Also Gassigehen sollte man auch, also man sollte irgendwie so, je nachdem, wie oft der Hund auch Pipi machen muss,
[00:25:54.580 --> 00:26:02.140]  so zwei-, dreimal mindestens am Tag Gassigehen. Mein Hund zum Beispiel weigert sich auch manchmal,
[00:26:02.140 --> 00:26:11.260]  Gassi zu gehen, weil er einfach keinen Bock hat. Hunde dürfen auch Nein sagen. Ansonsten ist das
[00:26:11.260 --> 00:26:18.420]  bei Hunden so, dass die ganz... Also die beobachten ihre Umwelt sehr genau. Das heißt, wenn du zwei-,
[00:26:18.420 --> 00:26:23.940]  dreimal Gassi gehst, das ist dann... Baut der so Rituale auf. Du ziehst dir immer die gleiche
[00:26:23.940 --> 00:26:28.500]  Jacke an, du ziehst dir deine Schuhe aus, da weißt du schon, es geht jetzt zum Gassi.
[00:26:28.500 --> 00:26:34.300]  Und da muss man eigentlich nichts weiter beachten.
[00:26:34.300 --> 00:26:39.740]  Schön ist es, wenn man beim Gassigehen, wenn das auch so eine
[00:26:39.740 --> 00:26:43.260]  Hund-Mensch-Zeit ist und nicht der Hund macht sein Ding und der Mensch
[00:26:43.260 --> 00:26:48.100]  telefoniert, klickert am Handy rum, macht sonst was, sondern dass man diese
[00:26:48.100 --> 00:26:50.900]  Zeit nutzt, dass man vielleicht sich auch überlegt, wie kann ich so einen Gassigang
[00:26:50.900 --> 00:26:55.580]  strukturieren, baue ich am Anfang ein Spiel auf oder wie ist mein Hund gerade gestimmt,
[00:26:55.580 --> 00:27:01.260]  muss ich den ein bisschen motivieren oder muss ich den runterkriegen. Dass man sich überlegt,
[00:27:01.260 --> 00:27:08.260]  wie kann ich uns beiden einen tollen Gassigang machen. Also dass man nicht einfach nur stupide
[00:27:08.260 --> 00:27:13.100]  um den Block läuft, sondern hier macht man ein Spiel und da kann er was suchen und da hinten
[00:27:13.100 --> 00:27:31.240]  ist irgendwie ein Sandloch, da kann er ruddeln, da weiß der Kuckuck was. Also müssen, können muss man da nichts, aber es empfiehlt sich immer sehr, dass man die Gassi-Runde als, ich sag mal, Quality-Time auch gestaltet.
[00:27:31.240 --> 00:27:38.660]  Dass man auch da auf den Hund guckt, dass man auch darauf achtet, je nachdem, was du für einen Hund hast und was du für Eigenarten hast,
[00:27:38.660 --> 00:27:45.320]  da musst du natürlich irgendwie gucken, wo sind mögliche Fallen, die da auf mich zulaufen,
[00:27:45.320 --> 00:27:50.820]  reagiert mein Hund auf Jogger, reagiert mein Hund auf Fahrradfahrer, reagiert mein Hund auf andere Hunde,
[00:27:50.820 --> 00:27:56.820]  da muss man halt diese Situationen managen und gucken, wie man damit umgeht.
[00:27:56.820 --> 00:28:02.820]  Sie hatten das vorhin angesprochen, wenn sich der Hund quasi weigert, Gassi zu gehen,
[00:28:02.820 --> 00:28:05.820]  kann das irgendwie ein Zeichen auf Krankheit sein oder so?
[00:28:05.820 --> 00:28:14.320]  Kann es sein, wenn der Hund Probleme hat beim Pippi zu machen oder Kacka zu machen,
[00:28:14.320 --> 00:28:17.320]  kann das auch eine medizinische Ursache haben?
[00:28:17.320 --> 00:28:21.820]  Tausend verschiedene Gründe gibt es da, da muss man dann schon drauf achten.
[00:28:21.820 --> 00:28:28.320]  Also wenn es gehäuft vorkommt, dass der Hund sich nicht, wie man so sagt, lösen kann oder will,
[00:28:28.320 --> 00:28:30.820]  kann das unter anderem auch medizinische Ursachen haben.
[00:28:30.820 --> 00:28:37.820]  Wie haben Sie Ihren Hund erzogen? Klicker, Leckerlis? Was ist eigentlich eine gute Zimstaktik?
[00:28:37.820 --> 00:28:48.820]  Also ich habe meinen Hund gar nicht. Wir arbeiten mit Markerboard, das ist im Prinzip das Gleiche wie Klickern auch.
[00:28:48.820 --> 00:28:59.820]  Das ist auch die Ausbildung, die ich mache. Wir machen ein belohnungsbasiertes Training,
[00:28:59.820 --> 00:29:06.820]  das heißt, das kommt von der Lerntheorie und geht dann davon aus, dass, und es funktioniert auch,
[00:29:06.820 --> 00:29:14.820]  dass wenn der Hund ein Verhalten zeigt, irgendwas macht und ich marke das, das ist das Gleiche wie der Klicker,
[00:29:14.820 --> 00:29:18.900]  und daraufhin gibt es eine Belohnung, dann weiß der Hund, das, was ich jetzt gerade gemacht habe, ist cool.
[00:29:18.900 --> 00:29:25.660]  Wenn die Belohnung auch stimmt, das wird dann dazu führen, dass er dieses Verhalten,
[00:29:25.660 --> 00:29:28.620]  was du geklickert hast, weil du es gut findest, aus welchen Gründen auch immer,
[00:29:28.620 --> 00:29:31.700]  ob er jetzt gerade Handstand machen soll oder weil er einfach mal die Klappe hält,
[00:29:31.700 --> 00:29:36.980]  wenn er hinten geholt ist, dann wird er dieses Verhalten öfters zeigen.
[00:29:36.980 --> 00:29:39.900]  Ich kenne Klicker, aber was genau ist ein Marker?
[00:29:39.900 --> 00:29:43.340]  Das ist im Prinzip das Gleiche wie ein Klicker. Mit dem Klicker machst du...
[00:29:43.340 --> 00:29:51.260]  Ja, das Geräusch. Markierst du ja im Prinzip, wenn der Hund das linke Öhrchen bewegen soll,
[00:29:51.260 --> 00:29:55.340]  und in dem Moment, wo der Hund das linke Öhrchen bewegt, klickerst du ja.
[00:29:55.340 --> 00:30:05.340]  Und ob du jetzt klickerst, also mit dem "Klick" machst, oder ob du sagst "Top", ist nur ein Bestätigungswort.
[00:30:05.340 --> 00:30:09.340]  Der Vorteil ist, dass du es halt immer dabei hast.
[00:30:09.340 --> 00:30:11.340]  Also, vergessen wird.
[00:30:11.340 --> 00:30:20.340]  Also, ist das eher akustisches Training, gibt es dann auch vielleicht sichtbares Training, also zum Beispiel Gesten oder so?
[00:30:20.340 --> 00:30:29.340]  Ja, ja, das sind Signale, nennt man das dann. Also das Markerwort ist nur das Wort, wo du sagst, das war jetzt richtig.
[00:30:29.340 --> 00:30:37.340]  Und dann führst du, wie zum Beispiel "Sitzplatz bleiben" und so weiter, das sind dann Signale, die du einführst.
[00:30:37.340 --> 00:30:44.340]  Und da gibt es akustische Signale, es gibt optische Signale, wenn du Handzeichen machst,
[00:30:44.340 --> 00:30:51.340]  es gibt taktile Signale, wenn du den Hund anfasst oder an der Leine ziehst, das ist auch ein
[00:30:51.340 --> 00:30:55.340]  taktiles Signal. An der Leine ziehen sollte man übrigens nicht, ja, an der Gasse gehen
[00:30:55.340 --> 00:31:00.340]  sollte man immer darauf achten. An lockerer Leine zu gehen, den Hund schon gar nicht am
[00:31:00.340 --> 00:31:06.340]  Halsband zu ziehen, das kann böse Verletzungen, gerade hier, wo das Halsband sitzt, ist auch
[00:31:06.340 --> 00:31:13.920]  der Kehlkopf, ja, abgesehen von der Halswirbelsäule, und muss man versuchen, den Hund beim Gassigehen
[00:31:13.920 --> 00:31:18.680]  an der lockeren, mit dem Hund so zu trainieren, dass der Hund mit dem Menschen an lockerer
[00:31:18.680 --> 00:31:25.280]  Leine läuft. Und nicht am Geschirr ziehen und nicht am Halsband ziehen, weil das, wie
[00:31:25.280 --> 00:31:30.840]  gesagt, zu blöden Verletzungen kommen kann und auch einfach immer blöde Lernerfahrungen
[00:31:30.840 --> 00:31:32.840]  macht, ja.
[00:31:32.840 --> 00:31:37.840]  Gut, wenn noch irgendjemand Fragen hat...
[00:31:37.840 --> 00:31:42.840]  Also, zum Abschluss noch, was würden Sie angehenden Hundebesitzern raten?
[00:31:42.840 --> 00:31:44.840]  Erstbesitzern?
[00:31:44.840 --> 00:31:46.840]  Erstbesitzern, ja.
[00:31:46.840 --> 00:31:55.840]  Also, ich würde Erstbesitzern raten, erstmal, also langsam anzufangen, im Zweifelsfall,
[00:31:55.840 --> 00:32:00.840]  wenn man sich nicht ganz sicher ist, oder wenn man wirklich Kontakt auf dem Tieren hat,
[00:32:00.840 --> 00:32:08.840]  im Zweifelsfall vielleicht erstmal mit Gassigehen anfangen, weil was wir hier oft erleben, dass
[00:32:08.840 --> 00:32:15.840]  Menschen dann merken, oh, so ein Hund braucht halt doch viel Zeit, ja, und ich würde bei
[00:32:15.840 --> 00:32:19.840]  Erstbesitzer... Ich finde es auch gut, wenn sich Erstbesitzer vielleicht erstmal einen
[00:32:19.840 --> 00:32:28.660]  älteren Hund, einen erwachsenen Hund zulegen, weil die Erziehung von Welpen ist echt anspruchsvoll
[00:32:28.660 --> 00:32:33.320]  und da musst du... Also, es kostet noch mehr Zeit, ja, so irgendwie nachts alle zwei Stunden
[00:32:33.320 --> 00:32:40.240]  raus und so. Du kannst echt viel verkehrt machen und von daher ist, finde ich, für alle
[00:32:40.240 --> 00:32:47.040]  Beteiligten irgendwie ganz okay, wenn du als Erstbesitzer einen, ich sag mal, gebrauchten
[00:32:47.040 --> 00:32:52.880]  Hund hast, also einen erwachsenen Hund, der schon, der ein... der irgendwie souverän
[00:32:52.880 --> 00:32:58.400]  ist und der viele Sachen dir auch verzeiht, ja, und wo du einfach nicht mehr so viel wie
[00:32:58.400 --> 00:33:03.720]  bei einem Welpen vergurken kannst. Weil wenn... Also, so ein Welpe macht ja auch verschiedene
[00:33:03.720 --> 00:33:09.040]  Entwicklungsstufen durch und da kann es dir halt ganz schnell passieren, dass ohne, dass
[00:33:09.040 --> 00:33:14.240]  du das willst, weil du irgendwie unaufmerksam warst oder weil du es nicht mitbekommen hast
[00:33:15.240 --> 00:33:43.880]  und du es dann... dir dein Hund echt versaust, ja, also dass du dann... Der hat dann so zwischen fünf und neun Monaten nochmal so eine sensible Phase und wenn du nicht dann echt drauf achtest, dass der keine blöden Erfahrungen macht, dann kann es dir halt passieren, dass du... Der ist dann irgendwie mit neun Monaten... Hat er sich von einem Fahrradfahrer erschreckt und dann erschreckt er sich immer wieder vom Fahrradfahrer.
[00:33:43.880 --> 00:33:55.520]  Und dann fängt er an, dich zu jagen, ja, also das ist schon ein bisschen anspruchsvoller, so einen jungen Hund zu erzielen, als sich so an das... an die Hundewelt ranzutasten, wenn man schon einen erwachsenen Hund hat.
[00:33:55.520 --> 00:34:10.760]  Sich gut vorbereiten. Vielleicht auch einfach mal in eine Hundeschule gehen, bevor man den Hund hat, sich mal beraten lässt, sich genau darüber Gedanken macht, wie viel Zeit habe ich, was kann ich investieren, was...
[00:34:10.760 --> 00:34:20.760]  Also mein Hund bedeutet Jahre, ja, im Idealfall. Kann ich das alles leisten? Gibt mein Leben das her? Passt ein Hund in mein Leben?
[00:34:20.760 --> 00:34:33.760]  Wenn der Hund nicht in mein Leben passt, bin ich echt bereit, mein Leben... Kann ich mir das überhaupt leisten, so umzustricken, ja? Kann ich meinen Job irgendwie ändern oder sowas, wenn ich das wirklich...
[00:34:33.760 --> 00:34:51.760]  Und überlegen, was ich für einen Hund haben möchte. Kann ich dem Hund gerecht werden? Also wie gesagt, schaffe ich mir einen Herdenschutzhund an in einer Einzimmerwohnung?
[00:34:51.760 --> 00:35:05.760]  Eher nicht so, ja. Einfach verantwortungsvoll mit dem Thema umzugehen, weil es ist halt schon was anderes, ob du einen Hund an deiner Seite hast oder zu Hause ein Aquarium steht, was ja auch schon arbeitsintensiv ist.
[00:35:05.760 --> 00:35:09.760]  Ja, danke schön.
[00:35:09.760 --> 00:35:10.760]  Ja, okay. Ja, gut, dann...
[00:35:10.760 --> 00:35:12.760]  Sorry, seid ihr verwirrt, ja?
[00:35:12.760 --> 00:35:15.760]  Nein, nein. Wir haben auf jeden Fall sehr... Also vielen Dank, wir haben auf jeden Fall sehr viel...
[00:35:15.760 --> 00:35:17.760]  Und ihr macht eine App, oder was?
[00:35:17.760 --> 00:35:18.760]  Ja, quasi eine App.
[00:35:18.760 --> 00:35:19.760]  Das ist ja cool.
[00:35:19.760 --> 00:35:25.760]  Ja. Ein bisschen Aufklärung, ein bisschen Hundeerziehung, das Training, ein bisschen Vibe.
[00:35:25.760 --> 00:35:29.760]  Ist das dann speziell jetzt für Hunde? Nein, das ist so allgemein für Kinder und Tiere?
[00:35:29.760 --> 00:35:37.760]  Wir wollen uns erstmal auf Hunde konzentrieren und dann auch speziell quasi auf Kinder, weil es ja auch eine spielerische App sein soll, ne?
[00:35:37.760 --> 00:35:41.760]  Aber wir wollen es dann auch auf mehrere, auf Tierarten, ja, weiter.
[00:35:41.760 --> 00:35:51.760]  Bisschen Informationen darüber geben, wie man sich richtig verhält und ja, was man beachten muss, ein paar Hintergrundinformationen, ja.
[00:35:51.760 --> 00:35:58.760]  Also wie gesagt, ganz wichtig in dem Bereich, auch gerade für Kinder, das können die auch schon lernen, ist das Ausdrucksverhalten vom Mund.
[00:35:58.760 --> 00:36:11.960]  Darüber gibt es ganz gute Bücher, ja. Dass auch, dass man so früh wie möglich versucht oder lernt, die Körpersignale, die der Hund dir sendet, auch richtig zu verstehen, ja.
[00:36:11.960 --> 00:36:18.760]  Dass, wenn der Hund so macht, dass das nicht freundliches Lächeln ist, sondern das heißt, geh mal lieber weg, ja.
[00:36:18.760 --> 00:36:28.320]  Und es hat auch so Versuche gegeben mit Kindern, wo man Kindern Bilder von Hunden gezeigt hat,
[00:36:28.320 --> 00:36:34.080]  wo sie gedroht haben, ne? Also wenn der Hund droht, dann gehen halt die Lefts nach oben
[00:36:34.080 --> 00:36:39.920]  und das sieht für uns aus wie Lächeln, tun die aber nicht. Und ganz viele Kinder haben
[00:36:39.920 --> 00:36:46.800]  halt, und da waren dann sozusagen noch Bilder von entspannten Hundegesichtern, und die Kinder
[00:36:46.800 --> 00:36:53.640]  haben fatalerweise sich auf die Frage, welcher Hund ist denn gerade freundlich gestimmt, genau
[00:36:53.640 --> 00:37:00.160]  für den Hund entschieden haben oder das Bild des Hundes entschieden haben, der gerade gedroht hat,
[00:37:00.160 --> 00:37:05.560]  also der kurz davor, also vor dem Angriff kommt immer die Drohung, ja. Und wenn man die Drohung
[00:37:05.560 --> 00:37:11.000]  dann, wenn sich diese Situation nicht deeskalieren lassen, dann bleibt dem Hund irgendwie nichts
[00:37:11.000 --> 00:37:16.080]  anderes mehr, als dann ins aggressive Verhalten überzugehen. Und wenn du diese Zeichen halt
[00:37:16.080 --> 00:37:29.080]  missverstehst, dann kann das halt echt doof sein. Erst für das Kind und dann für den Hund, weil dann beißt der Hund, ohne dass er was dafür kann, das Kind, und dann muss der Hund weg, weil der Hund hat das Kind gebissen. Und das ist halt dann immer scheiße.
[00:37:29.080 --> 00:37:31.080]  Ja.
[00:37:31.080 --> 00:37:33.080]  Ja.
[00:37:33.080 --> 00:37:35.080]  Ja.
[00:37:35.080 --> 00:37:37.080]  Denk ich können wir hiermit aufhören.
[00:37:37.080 --> 00:37:39.080]  Super.
[00:37:39.080 --> 00:37:41.080]  Wir wollen sie ja auch nicht von der Arbeit abhalten.
[00:37:41.080 --> 00:37:43.080]  Vielen, vielen Dank.
[00:37:43.080 --> 00:37:45.080]  Dann lasst uns wissen, wenn ihr die App programmiert habt.
[00:37:45.080 --> 00:37:47.080]  Ja, gerne, gerne.
[00:37:47.080 --> 00:37:49.080]  Das würde mich persönlich auch mal interessieren.
[00:37:49.080 --> 00:37:51.080]  Vielleicht könnt ihr dann auch dazu nochmal Feedback geben irgendwann.
[00:37:51.080 --> 00:37:53.080]  Ja, gerne.
[00:37:53.080 --> 00:37:55.080]  Was habt ihr für ein Timing?
[00:37:55.080 --> 00:37:57.080]  Wann wollt ihr da mal durchreisen?
[00:37:57.080 --> 00:37:59.080]  Vier und ein halben Monate.
