[00:00:00.000 --> 00:00:05.000]  Also ich weiß jetzt nicht wie viel Zeit sie haben.
[00:21:20.760 --> 00:21:26.760]  Erstens mal gibt es Situationen, wo du einen Maulkorb brauchst, in der Schweiz zum Beispiel ist der Maulkorb Pflicht.
[00:21:26.760 --> 00:21:28.760]  Ja, in anderen Ländern ist das Pflicht, ja.
[00:21:28.760 --> 00:21:35.760]  Und dann ist das ja auch nicht so, und du weißt immer nie, was passiert, ja.
[00:21:35.760 --> 00:21:48.760]  Es kann sein, dass es Situationen gibt, wo der Hund nach vorne geht und du froh bist, dass du diesen Maulkorb hast, oder dass der Hund Probleme mit anderen Hunden hat und du irgendwie eigentlich gar nicht mehr richtig Gasse gehen kannst.
[00:21:48.760 --> 00:21:57.760]  Und dann bist du froh, wenn du einen Maulkorb hast, ja. Und deshalb ist es ganz gut, weil du stöpst ja so einem Hund nicht einfach den Maulkorb drauf.
[00:21:57.760 --> 00:22:02.760]  Das ist auch eine Trainingsfrage, ja. Also man übt erst mal Maulkorb und das dauert auch ein paar Tage,
[00:22:02.760 --> 00:22:06.760]  bis der Hund dann den Maulkorb akzeptiert hat.
[00:22:06.760 --> 00:22:12.760]  Und deshalb würde ich den mit in die Grundausstattung nehmen, einfach um eine Hilfsmittel zur Hand zu haben,
[00:22:12.760 --> 00:22:17.760]  was ich dann auch anwenden kann, wenn eine Notsituation eintritt.
[00:22:17.760 --> 00:22:21.760]  Also wenn ich einen kleinen Chihuahua habe, weiß ich nicht genau, ja.
[00:22:21.760 --> 00:22:26.760]  Wenn man von einem normal großen Hund oder du hast einen Border Collie oder sonst was,
[00:22:26.760 --> 00:22:31.760]  ich würde denken, es ist gut, wenn man so etwas hat.
[00:22:31.760 --> 00:22:41.760]  Jetzt, wir hatten einen Freund schon gefragt, aber vielleicht können wir nochmal Sie fragen,
[00:22:41.760 --> 00:22:44.760]  was ist mit dem Thema "kranke Hunde adoptieren"?
[00:22:44.760 --> 00:22:51.760]  Also ist das etwas, das wirklich nur Leute machen können, die Erfahrung haben mit Hunden
[00:22:51.760 --> 00:22:57.760]  oder ob das auch quasi Laien machen können mit der richtigen Unterstützung?
[00:22:57.760 --> 00:23:02.760]  Das können auch Laien machen, ja, mit der richtigen Unterstützung.
[00:23:02.760 --> 00:23:06.760]  Also ich meine, das ist halt, ein krankes Tier ist halt auch immer ein Kostenfaktor,
[00:23:06.760 --> 00:23:09.760]  muss man ganz klar sagen, ja.
[00:23:09.760 --> 00:23:22.160]  Und ansonsten ist Krankheit ja auch so ein sehr weiter Begriff, was das Tier gerade erkrankt ist.
[00:23:22.160 --> 00:23:31.360]  Also sind es Krankheiten, die man medikamentös behandeln kann oder Hunde haben ja auch viel mit Gelenken zu tun, ja.
[00:23:31.360 --> 00:23:38.160]  Also für so Knochen-Sachen und Gelenke, da muss man halt die Zeit und die Bereitschaft und das Geld investieren.
[00:23:38.160 --> 00:23:46.160]  Wenn du einen Hund hast mit einer Hüftgelenksdysplasie im fortgeschrittenen Stadium, dann musst du halt mit dem zum Tierarzt, dann kriegt der Schmerzspritzen,
[00:23:46.160 --> 00:23:54.160]  dann musst du mit dem im Zweifelsfall zum Osteopathen, zur Physio und so weiter und so fort, muss man halt alles mit einkalkulieren, ja.
[00:23:54.160 --> 00:24:02.160]  Also das ist nichts mit, ob man das kann oder nicht, also das hat mit Laien oder Profi nicht zu tun,
[00:24:02.160 --> 00:24:07.100]  sondern ob du die Bereitschaft hast, sich darum zu kümmern und dann zu den entsprechenden
[00:24:07.100 --> 00:24:10.420]  Leuten zu gehen, die dir dann helfen oder dem Tier vor allen Dingen helfen können.
[00:24:10.420 --> 00:24:11.420]  Und das kostet halt.
[00:24:11.420 --> 00:24:19.580]  Also man kann sagen, man braucht schon gewisse Geld in die Hand zu nehmen, wenn man so einen
[00:24:19.580 --> 00:24:20.580]  kranken Hund adoptiert.
[00:24:20.580 --> 00:24:24.980]  Ja, es kommt ganz stark auf die Krankheit an.
[00:24:24.980 --> 00:24:30.700]  Also manche Hunde sind ja auch irgendwie krank, können damit leben, die brauchen nur einfach
[00:24:30.700 --> 00:24:36.000]  Ruhe oder wenig Bewegung oder können keine Treppen laufen oder sowas. Da muss man halt
[00:24:36.000 --> 00:24:43.160]  versuchen, die Umwelt sozusagen so hinzubauen, dass es mit dem Hund konform geht. Oder Hunde,
[00:24:43.160 --> 00:24:47.400]  die in einem Rolli sind, die sind ja prinzipiell auch krank, weil denen irgendwie ein Bein
[00:24:47.400 --> 00:24:50.720]  fehlt oder zwei, ja, aber die leben ganz lustig vor sich hin.
[00:24:50.720 --> 00:24:58.320]  Okay, ich weiß nicht, wie viel Sie teilen, aber vielleicht noch ein letztes Thema, was
[00:24:58.320 --> 00:25:04.120]  vielleicht noch wichtig sein könnte und zwar Gassi gehen, was man da vielleicht generell
[00:25:04.120 --> 00:25:09.760]  beachten sollte und vor allem, ob man da irgendwie Vorbereitung vor dem Gassi gehen oder danach
[00:25:09.760 --> 00:25:21.440]  noch irgendwie den Hund. Für den Hund? Ja. Also Gassi gehen sollte man auch, also man
[00:25:21.440 --> 00:25:25.760]  sollte irgendwie so, je nachdem, wie oft der Hund auch Pipi machen muss, so zwei, dreimal
[00:25:25.760 --> 00:25:34.480]  mindestens am Tag Gassi gehen. Manchmal hat der, also mein Hund zum Beispiel weigert sich auch manchmal, Gassi zu gehen, weil er einfach keinen Bock hat.
[00:25:34.480 --> 00:25:47.960]  Ja. Dann, Hunde dürfen auch Nein sagen, ja, ansonsten ist das bei Hunden so, dass die ganz, also die beobachten ihre Umwelt sehr genau.
[00:25:47.960 --> 00:25:54.760]  Das heißt, wenn du zwei, dreimal Gassi gehst und das ist dann, baut der so Rituale auf. Du ziehst ja immer die gleiche Jacke an,
[00:25:54.760 --> 00:25:57.280]  du ziehst dir deine Schuhe aus, da weißt du schon, es geht jetzt zum Gassi.
[00:25:57.280 --> 00:26:04.200]  Und da muss man eigentlich nichts weiter beachten.
[00:26:04.200 --> 00:26:10.120]  Schön ist es, wenn man das Gassi gehen, wenn man beim Gassi gehen, wenn das auch so eine
[00:26:10.120 --> 00:26:14.560]  Hund-Mensch-Zeit ist und nicht der Hund macht sein Ding und der Mensch telefoniert,
[00:26:14.560 --> 00:26:19.400]  klickert an Handy rum und macht sonst was, sondern dass man diese Zeit nutzt, dass man
[00:26:19.400 --> 00:26:22.120]  vielleicht sich auch überlegt, wie kann ich so ein Gassigang strukturieren?
[00:26:22.120 --> 00:26:26.000]  Ja, baue ich am Anfang ein Spiel auf oder wie ist mein Hund gerade gestimmt?
[00:26:26.000 --> 00:26:29.040]  Muss ich den ein bisschen motivieren oder muss ich den runter kriegen?
[00:26:29.040 --> 00:26:36.880]  Und dass man sich überlegt, wie kann ich den Hund über den, also wie kann ich uns beiden einen tollen Gassigang machen?
[00:26:36.880 --> 00:26:42.320]  Ja, also dass man nicht einfach nur stupide um den Block läuft, sondern hier macht man ein Spiel und da kann er was suchen.
[00:26:42.320 --> 00:26:48.080]  Und da, da hinten ist irgendwie ein Sandblock, da kann er buddeln, weiß ja guck, guck was.
[00:26:48.080 --> 00:26:56.480]  Ja, also müssen, können muss man ja nichts, aber es empfiehlt sich immer sehr, dass man
[00:26:56.480 --> 00:27:03.480]  den die Gassi-Runde als, ich sag mal, Quality-Time auch gestaltet. Ja, dass man auch da auf den
[00:27:03.480 --> 00:27:07.880]  Hund guckt, dass man auch drauf achtet, je nachdem, was du für einen Hund hast und was
[00:27:07.880 --> 00:27:14.240]  du für Eigenarten hast, da musst du natürlich irgendwie gucken, wo sind mögliche Fallen,
[00:27:14.240 --> 00:27:19.500]  die da auf mich zulaufen, reagiert mein Hund auf Jogger, reagiert mein Hund auf Fahrradfahrer,
[00:27:19.500 --> 00:27:25.860]  reagiert mein Hund auf andere Hunde, ja. Da muss man halt diese Situationen managen und
[00:27:25.860 --> 00:27:31.780]  gucken, wie man damit umgeht. Sie hatten das vorhin angesprochen, wenn sich der Hund quasi
[00:27:31.780 --> 00:27:36.820]  weigert Gassi zu gehen, kann das irgendwie ein Zeichen auf Krankheit sein oder so? Kann
[00:27:36.820 --> 00:27:41.500]  man dann den, also man sollte den Hund zwangen. Kann ja, also kann es sein, wenn der Hund
[00:27:41.500 --> 00:27:46.860]  Probleme hat beim Pippi zu machen oder Kaka zu machen, kann das auch eine medizinische
[00:27:46.860 --> 00:27:52.100]  Ursache haben. Tausend verschiedene Gründe gibt es da, da muss man dann schon darauf achten.
[00:27:52.100 --> 00:27:58.180]  Also wenn das gehäuft vorkommt, dass der Hund nicht sich, wie man so sagt, lösen kann oder
[00:27:58.180 --> 00:28:04.220]  will, kann das unter anderem auch medizinische Ursachen haben. Wie haben Sie Ihren Hund erzogen?
[00:28:04.220 --> 00:28:07.420]  Klicker, Leckerlis, was finden Sie nicht eine gute Zwingstaktik?
[00:28:07.420 --> 00:28:18.220]  Also ich habe meinen Hund gar nicht, wir arbeiten mit Markerwort, das ist im Prinzip das gleiche wie Klickern auch.
[00:28:18.220 --> 00:28:32.220]  Das ist auch die Ausbildung, die ich mache. Wir machen ein belohnungsbasiertes Training, das heißt, das kommt von der Lerntheorie
[00:28:32.220 --> 00:28:41.220]  und geht dann davon aus, dass, und es funktioniert auch, dass wenn der Hund ein Verhalten zeigt,
[00:28:41.220 --> 00:28:46.720]  irgendwas macht und ich marke das, das ist das gleiche wie der Klicker, und daraufhin gibt es eine Belohnung,
[00:28:46.720 --> 00:28:49.220]  dann weiß er, das was ich jetzt gerade gemacht habe, ist cool.
[00:28:49.220 --> 00:28:57.220]  Wenn die Belohnung auch stimmt, das wird dann dazu führen, dass er dieses Verhalten, was du geklickert hast,
[00:28:57.220 --> 00:29:00.220]  weil du das gut findest, aus welchen Gründen auch immer, ob er jetzt gerade Handstand machen soll
[00:29:00.220 --> 00:29:07.300]  oder weil er einfach mal die Klappe hält, wenn da hinten ein Hund ist, dann wird er dieses Verhalten öfters zeigen.
[00:29:07.300 --> 00:29:10.300]  Ich kenne Klicker, aber was genau ist ein Marker?
[00:29:10.300 --> 00:29:15.300]  Das ist im Prinzip das gleiche wie ein Klicker. Mit dem Klicker machst du das Geräusch, das Klick.
[00:29:15.300 --> 00:29:24.300]  Markierst du ja im Prinzip, also wenn der Hund das linke Öhrchen bewegen soll und in dem Moment, wo der Hund das linke Öhrchen bewegt, klickerst du ja.
[00:29:24.300 --> 00:29:35.300]  Und ob du jetzt klickerst, also den machst, oder ob du sagst "top", ist nur ein Bestätigungswort.
[00:29:35.300 --> 00:29:39.300]  Der Vorteil ist, dass du es halt immer dabei hast.
[00:29:39.300 --> 00:29:50.300]  Ist das eher akustisches Training, gibt es dann auch vielleicht sichtbares Training, also zum Beispiel Gesten oder so?
[00:29:50.300 --> 00:30:00.300]  Ja, das sind Signale, nennt man das dann. Also das Markerwort ist nur das Wort, wo du sagst, das war jetzt richtig.
[00:30:00.300 --> 00:30:08.300]  Und dann führst du, wie zum Beispiel Sitzplatz, Blei und so weiter, das sind dann Signale, die du einführst.
[00:30:08.300 --> 00:30:18.300]  Da gibt es akustische Signale, optische Signale, wenn du Handzeichen hast. Es gibt taktile Signale, wenn du den Hund anfasst.
[00:30:18.300 --> 00:30:32.300]  Oder an der Leine ziehst, das ist auch ein taktiles Signal. An der Leine ziehen sollte man nicht, beim Gassigehen sollte man immer darauf achten, an lockerer Leine zu gehen, den Hund schon gar nicht am Halsband zu ziehen.
[00:30:32.300 --> 00:30:40.300]  Das kann böse Verletzungen, gerade hier, wo das Halsband sitzt, ist auch der Kehlkopf, abgesehen von der Halswirbelsäule.
[00:30:40.300 --> 00:30:49.900]  Und man muss versuchen, den Hund beim Gassigehen so zu trainieren, dass der Hund mit dem Menschen an lockerer Leine läuft.
[00:30:49.900 --> 00:31:01.900]  Nicht am Geschirr ziehen und nicht am Halsband ziehen, weil das, wie gesagt, zu blöden Verletzungen kommen kann und auch einfach immer blöde Lärmerfahrungen macht.
[00:31:02.900 --> 00:31:07.900]  Gut, wenn ich noch jemanden fragen möchte...
[00:31:07.900 --> 00:31:12.900]  Also zum Abschluss noch, was würden Sie angehenden Hundebesitzern raten?
[00:31:12.900 --> 00:31:16.900]  Erstbesitzern? Erstbesitzern, ja.
[00:31:16.900 --> 00:31:29.900]  Also ich würde Erstbesitzern raten, erstmal langsam anzufangen, wenn man sich nicht ganz sicher ist, oder wenn man Kontakt auf ein Tier hat.
[00:31:29.900 --> 00:31:41.900]  Im Zweifelsfall vielleicht erstmal mit Gassigehen anfangen, weil was wir hier oft erleben, dass Menschen dann merken, so ein Hund braucht halt doch viel Zeit.
[00:31:41.900 --> 00:31:51.900]  Ich finde es auch gut, wenn sich Erstbesitzer vielleicht erstmal einen älteren Hund, einen erwachsenen Hund zulegen,
[00:31:51.900 --> 00:32:01.460]  weil die Erziehung von Welpen ist echt anspruchsvoll und da musst du... Also es kostet noch mehr Zeit,
[00:32:01.460 --> 00:32:07.900]  so irgendwie nachts alle zwei Stunden raus und so. Du kannst echt viel verkehrt machen und von daher
[00:32:07.900 --> 00:32:16.860]  finde ich, dass für alle Beteiligten irgendwie ganz okay, wenn du als Erstbesitzer einen, ich sage mal,
[00:32:16.860 --> 00:32:30.420]  gebrauchten Hund hast. Also einen erwachsenen Hund, der schon, der irgendwie souverän ist und der viele Sachen dir auch verzeiht, ja, und wo du einfach nicht mehr so viel wie bei einem Welpen vergurken kannst.
[00:32:30.420 --> 00:32:43.420]  Weil wenn... Also so ein Welpen macht ja auch verschiedene Entwicklungsstufen durch und da kann es dir halt ganz schnell passieren, dass ohne dass du das willst, weil du irgendwie unaufmerksam warst oder weil du es nicht mitgekriegt hast,
[00:32:44.420 --> 00:32:51.980]  oder weil du ein bisschen grob bist, dann dir dein Hund echt versaust, ja. Also dass du dann... Der hat dann
[00:32:51.980 --> 00:33:00.620]  zwischen fünf und neun Monaten nochmal so eine sensible Phase und wenn du nicht dann echt drauf achtest, dass der keine blöden Erfahrungen macht,
[00:33:00.620 --> 00:33:05.980]  dann kann es dir halt passieren, dass du... Der ist dann irgendwie mit neun Monaten...
[00:33:05.980 --> 00:33:09.740]  Hat er sich von einem Fahrradfahrer erschreckt und
[00:33:09.740 --> 00:33:12.340]  dann
[00:33:12.340 --> 00:33:25.680]  erschreckt er sich immer wieder vom Fahrradfahrer und fängt an, dich zu jagen, ja. Also das ist schon ein bisschen anspruchsvoller, so einen jungen Hund zu erzielen, als sich so an die Hundewelt ranzutasten, wenn man schon einen erwachsenen Hund hat.
[00:33:25.680 --> 00:33:29.060]  Sich gut vorbereiten.
[00:33:29.060 --> 00:33:36.540]  Vielleicht auch einfach mal in eine Hundeschule gehen, bevor man den Hund hat, sich mal beraten lässt, sich genau darüber
[00:33:37.300 --> 00:33:42.820]  Gedanken macht, wie viel Zeit habe ich, was kann ich investieren, was... Also mein Hund bedeutet
[00:33:42.820 --> 00:33:50.300]  Jahre, ja, im Idealfall. Kann ich das alles leisten, gibt mein Leben das her, passt ein
[00:33:50.300 --> 00:33:56.180]  Hund in mein Leben? Wenn der Hund nicht in mein Leben passt, bin ich echt bereit, mein
[00:33:56.180 --> 00:34:02.340]  Leben... Kann ich mir das überhaupt leisten, umzustricken, ja? Kann ich meinen Job irgendwie
[00:34:02.340 --> 00:34:22.340]  ändern oder sowas, wennnicht das möglich ist? Und überlegen, was ich für einen Hund haben möchte. Kann ich dem Hund gerecht werden? Also wie gesagt, schaffe ich mir einen Herdenschutzhund an in einer Einzimmerwohnung?
[00:34:22.340 --> 00:34:32.200]  Eher nicht so, ja. Einfach verantwortungsvoll mit dem Thema umzugehen, weil es ist halt schon was anderes, ob du einen Hund an deiner Seite
[00:34:32.200 --> 00:34:37.800]  hast oder zu Hause im Aquarium steht, was ja auch schon arbeitsintensiv ist.
[00:34:37.800 --> 00:34:46.800]  Sehr gut, dankeschön. Ja, okay. Ja, gut, dann... Jetzt seid ihr verwirrt, ja? Nein, nein. Also wir haben auf jeden Fall... Also vielen Dank, wir haben auf jeden Fall sehr viel...
[00:34:46.800 --> 00:34:55.800]  Und ihr macht eine App, oder was? Ja, quasi. Das ist ja cool. Ja. Ein bisschen Aufklärung, ein bisschen Hundeerziehung, das Training, ein bisschen Beib...
[00:34:55.800 --> 00:35:00.600]  Ist das dann speziell jetzt für Hunde? Nein, das ist so allgemein Kinder und Tiere?
[00:35:00.600 --> 00:35:08.000]  Wir wollen uns erstmal auf Hunde konzentrieren und dann auch speziell quasi auf Kinder, weil es ja auch eine spielerische App sein soll.
[00:35:08.000 --> 00:35:12.600]  Aber wir wollen es dann auch auf mehrere Tierarten.
[00:35:12.600 --> 00:35:20.800]  Ein bisschen Informationen darüber geben, wie man sich richtig verhält und was man dachten muss, ein paar Hintergrundinformationen.
[00:35:20.800 --> 00:35:22.600]  Ja.
[00:35:22.600 --> 00:35:28.800]  Also wie gesagt, ganz wichtig in dem Bereich, auch gerade für Kinder, das können die auch schon lernen, ist das Ausdrucksverhalten vom Hund.
[00:35:28.800 --> 00:35:42.000]  Darüber gibt es ganz gute Bücher, ja. Dass man so früh wie möglich versucht oder lernt, die Körpersignale, die der Hund dir sendet, auch richtig zu verstehen.
[00:35:42.000 --> 00:35:48.800]  Wenn er uns so macht, dass das nicht freundliches Lächeln ist, sondern dass es heißt, geh mal lieber weg.
[00:35:48.800 --> 00:35:59.800]  Es hat auch so Versuche gegeben mit Kindern, wo man Kindern Bilder von Hunden gezeigt hat, wo sie gedroht haben.
[00:35:59.800 --> 00:36:07.800]  Also wenn der Hund droht, dann gehen halt die Läffs nach oben. Und das sieht für uns aus wie Lächeln.
[00:36:07.800 --> 00:36:14.800]  Tun die aber nicht. Und ganz viele Kinder haben halt, und da waren dann sozusagen noch Bilder von entspannten Hundegesichtern,
[00:36:14.800 --> 00:36:22.800]  und die Kinder haben fatalerweise sich auf die Frage, welcher Hund ist denn gerade freundlich gestimmt,
[00:36:22.800 --> 00:36:30.800]  genau für den Hund entschieden haben oder das Bild des Hundes entschieden haben, der gerade gedroht hat.
[00:36:30.800 --> 00:36:34.800]  Also der kurz davor, also vor dem Angriff kommt immer die Drohung, ja.
[00:36:34.800 --> 00:36:39.800]  Und wenn man die Drohung dann, wenn sich diese Situationen nicht deeskalieren lassen,
[00:36:39.800 --> 00:36:43.800]  dann bleibt dem Hund irgendwie nichts anderes mehr, als dann ins aggressive Verhalten überzugehen.
[00:36:43.800 --> 00:36:59.800]  Und wenn du diese Zeichen halt missverstehst, dann kann das halt echt doof sein. Erst für das Kind und dann für den Hund, weil dann beißt der Hund, ohne dass er was dafür kann, das Kind, und dann muss der Hund weg, weil der Hund hat das Kind gebissen. Und das ist halt dann immer scheiße.
[00:36:59.800 --> 00:37:10.800]  Dann denke ich, können wir hiermit aufhören. Super. Wir wollen Sie auch nicht von der Arbeit abhalten. Vielen, vielen Dank.
[00:37:10.800 --> 00:37:14.800]  Dann lasst uns wissen, wenn ihr die App programmiert habt.
[00:37:14.800 --> 00:37:16.800]  Ja, gerne, gerne.
[00:37:17.800 --> 00:37:20.160]  Vielleicht könnt ihr dann auch.
